"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"coat","English (American)","coat","nouns","clothing","coat",5641,10.3904068926145,10.9612815200032,6.11879454759489,2.44430097635255,0.876497958766768,0.443992354642887
"coffee","English (American)","coffee","nouns","food_drink","coffee",4456,10.6262167447474,11.8816335206471,5.69880649880071,1.91590227305664,0.64166285152993,0.229239273335902
"coke","English (American)","coke","nouns","food_drink","coke",1122,12.0053554402719,12.8621594879761,5.64484065269233,1.9688839290186,0.65999819079177,0.279067939658596
"cold","English (American)","cold","adjectives","descriptive_words","cold",10321,9.78628759278857,11.8149345329089,6.75677273917365,2.78252176643894,1.02591721720018,0.424884696366656
"comb","English (American)","comb (object)","nouns","household","comb",577,12.6703812598464,11.3499670500514,5.03870336081733,1.58226365529219,0.477488677572505,0.163689336497788
"cook","English (American)","cook","verbs","action_words","cook",7502,10.1052985957127,11.3566821229787,5.55124835846338,2.0584560755171,0.709456699020857,0.306195895482935
"cookie","English (American)","cookie","nouns","food_drink","cookie",645,12.5589732095587,13.0246914108145,5.4264852259216,1.85972781412084,0.68104372351348,0.252052153373351
"corn","English (American)","corn","nouns","food_drink","corn",2696,11.1286990543223,12.227814916293,5.81929676940041,1.96515777935317,0.593590247307726,0.201946322047799
"couch","English (American)","couch","nouns","furniture_rooms","couch",525,12.7648252637629,13.5521421149954,6.72744194956566,2.24540752871532,0.671693903311572,0.302313417387222
"could","English (American)","could","function_words","helping_verbs","could",65913,7.93213255673002,8.91055275203675,4.97679712705339,1.58279774299002,0.363982754092446,0.0839805486867002
"cover","English (American)","cover (action)","verbs","action_words","cover",21440,9.05520991116977,10.6614081909114,5.98971661490273,2.31931595882456,0.75657715920865,0.258097763609804
"cow","English (American)","cow","nouns","animals","cow",2086,11.3852198907938,12.2765080695509,5.71051100980408,1.84084360236547,0.560170270383561,0.193593871631945
"cracker","English (American)","cracker","nouns","food_drink","cracker",300,13.3244410516983,13.0877555318549,5.5478196826855,1.91281860047774,0.612945303649474,0.265820573055913
"crayon","English (American)","crayon","nouns","toys","crayon",184,13.8132877687455,12.5155388571812,4.72050278969638,1.42744372228734,0.339500308415179,0.124794418647335
"crib","English (American)","crib","nouns","furniture_rooms","crib",179,13.8408377205137,12.8002328306393,6.02908119968522,1.91363346859944,0.729110029745242,0.234325077926888
"cry","English (American)","cry","verbs","action_words","cry",2791,11.0940682928182,11.0466884869776,4.80021723926489,1.48550300634385,0.401648136916134,0.19024817684991
"cup","English (American)","cup","nouns","household","cup",77463,7.77066784436881,5.27986663329587,2.19202822229158,0.976060500805743,0.319570638232131,0.128038261186383
"cut","English (American)","cut","verbs","action_words","cut",16472,9.31880627764688,10.6438569696965,5.9201532288205,2.17068378118948,0.615085146349674,0.184630065556063
"cute","English (American)","cute","adjectives","descriptive_words","cute",463,12.8904964722683,14.121885524791,6.2280600060619,2.046960466528,0.507490111047632,0.186791292598305
"dance","English (American)","dance","verbs","action_words","dance",23655,8.95689373828925,9.92159974198289,4.97585233243785,1.84482620605421,0.646137053443716,0.275554629052316
"dark","English (American)","dark","adjectives","descriptive_words","dark",19732,9.13822656400087,11.209530351396,6.47074285686415,2.42407155729704,0.741660431651611,0.254032905814672
"deer","English (American)","deer","nouns","animals","deer",3499,10.8679910339868,9.93080703120309,4.69640180662068,1.62944065687433,0.56082558474106,0.218141328103918
"diaper","English (American)","diaper","nouns","clothing","diaper",214,13.6622475113327,13.6416653072466,5.70792851489251,1.67578936939921,0.311510038852653,0.0787381065596753
"did","English (American)","did","function_words","helping_verbs","did/did ya",79867,7.74010549618519,8.38484176089495,4.61400983349906,1.67487063316743,0.490265834481473,0.164994718917642
"did ya","English (American)","did","function_words","helping_verbs","did/did ya",NA,NA,NA,NA,NA,NA,NA
"dirty","English (American)","dirty","adjectives","descriptive_words","dirty",2632,11.1527242339093,12.9335559467996,6.5008702585541,2.45180556958948,0.856180664886819,0.391025882405065
"dish","English (American)","dish","nouns","household","dish",2992,11.0245261872601,11.3300426368563,5.43663226898011,1.73555608637129,0.468739256014483,0.133997086658104
"do","English (American)","do","function_words","helping_verbs","do",54426,8.1236262665115,8.18891622030786,4.47038937354553,1.7224631992501,0.527209730496374,0.138927234475427
