language,word_clean,cd_score
Mandarin (Taiwanese),拔,100
Mandarin (Taiwanese),南瓜,109
Mandarin (Taiwanese),压,113
Mandarin (Taiwanese),推,137
Mandarin (Taiwanese),放,761
Mandarin (Taiwanese),拼图,8
Mandarin (Taiwanese),快点,242
Mandarin (Taiwanese),安静,65
Mandarin (Taiwanese),下雨,93
Mandarin (Taiwanese),红色,145
Mandarin (Taiwanese),冰箱,51
Mandarin (Taiwanese),记,131
Mandarin (Taiwanese),遥控器,17
Mandarin (Taiwanese),饭,362
Mandarin (Taiwanese),骑,168
Mandarin (Taiwanese),马路,81
Mandarin (Taiwanese),机器人,104
Mandarin (Taiwanese),石头,120
Mandarin (Taiwanese),房间,190
Mandarin (Taiwanese),公鸡,63
Mandarin (Taiwanese),跑,445
Mandarin (Taiwanese),流,93
Mandarin (Taiwanese),伤心,86
Mandarin (Taiwanese),一样,526
Mandarin (Taiwanese),沙子,NA
Mandarin (Taiwanese),三明治,13
Mandarin (Taiwanese),香肠,18
Mandarin (Taiwanese),说话,210
Mandarin (Taiwanese),害怕,298
Mandarin (Taiwanese),围巾,30
Mandarin (Taiwanese),剪刀,75
Mandarin (Taiwanese),骂,80
Mandarin (Taiwanese),摇,82
Mandarin (Taiwanese),绵羊,42
Mandarin (Taiwanese),鞋子,118
Mandarin (Taiwanese),皮鞋,2
Mandarin (Taiwanese),短裤,31
Mandarin (Taiwanese),肩膀,21
Mandarin (Taiwanese),铲子,34
Mandarin (Taiwanese),生病,75
Mandarin (Taiwanese),坐,521
Mandarin (Taiwanese),天空,114
Mandarin (Taiwanese),滑,62
Mandarin (Taiwanese),拖鞋,43
Mandarin (Taiwanese),小,1855
Mandarin (Taiwanese),闻,97
Mandarin (Taiwanese),笑,181
Mandarin (Taiwanese),点心,29
Mandarin (Taiwanese),蜗牛,26
Mandarin (Taiwanese),蛇,114
Mandarin (Taiwanese),所以,638
Mandarin (Taiwanese),肥皂,32
Mandarin (Taiwanese),袜子,44
Mandarin (Taiwanese),汽水,12
Mandarin (Taiwanese),汤,218
Mandarin (Taiwanese),豆浆,26
Mandarin (Taiwanese),酱油,18
Mandarin (Taiwanese),蜘蛛,256
Mandarin (Taiwanese),菠菜,39
Mandarin (Taiwanese),汤匙,69
Mandarin (Taiwanese),蹲,81
Mandarin (Taiwanese),松鼠,136
Mandarin (Taiwanese),楼梯,110
Mandarin (Taiwanese),排,130
Mandarin (Taiwanese),站,289
Mandarin (Taiwanese),星星,216
Mandarin (Taiwanese),棍子,44
Mandarin (Taiwanese),贴纸,86
Mandarin (Taiwanese),停,147
Mandarin (Taiwanese),吸管,37
Mandarin (Taiwanese),草莓,134
Mandarin (Taiwanese),糖,129
Mandarin (Taiwanese),太阳,244
Mandarin (Taiwanese),吞,54
Mandarin (Taiwanese),毛衣,67
Mandarin (Taiwanese),甜,76
Mandarin (Taiwanese),秋千,41
Mandarin (Taiwanese),桌子,399
Mandarin (Taiwanese),餐桌,48
Mandarin (Taiwanese),拿,919
Mandarin (Taiwanese),脱,90
Mandarin (Taiwanese),橘子,89
Mandarin (Taiwanese),计程车,22
Mandarin (Taiwanese),茶,80
Mandarin (Taiwanese),撕,152
Mandarin (Taiwanese),电话,193
Mandarin (Taiwanese),告诉,445
Mandarin (Taiwanese),那个,686
Mandarin (Taiwanese),后来,225
Mandarin (Taiwanese),那里,366
Mandarin (Taiwanese),这些,510
Mandarin (Taiwanese),想,906
Mandarin (Taiwanese),以为,117
Mandarin (Taiwanese),这个,695
Mandarin (Taiwanese),那些,195
Mandarin (Taiwanese),丢,200
Mandarin (Taiwanese),投,29
Mandarin (Taiwanese),打雷,29
Mandarin (Taiwanese),绑,84
Mandarin (Taiwanese),老虎,180
Mandarin (Taiwanese),累,146
Mandarin (Taiwanese),卫生纸,21
Mandarin (Taiwanese),脚趾头,15
Mandarin (Taiwanese),厕所,54
Mandarin (Taiwanese),舌头,95
Mandarin (Taiwanese),牙齿,97
Mandarin (Taiwanese),摸,212
Mandarin (Taiwanese),毛巾,85
Mandarin (Taiwanese),玩具,270
Mandarin (Taiwanese),红绿灯,20
Mandarin (Taiwanese),火车,152
Mandarin (Taiwanese),垃圾桶,158
Mandarin (Taiwanese),树,502
Mandarin (Taiwanese),三轮车,33
Mandarin (Taiwanese),卡车,38
Mandarin (Taiwanese),肚子,145
Mandarin (Taiwanese),乌龟,128
Mandarin (Taiwanese),电视,228
Mandarin (Taiwanese),雨伞,40
Mandarin (Taiwanese),内裤,18
Mandarin (Taiwanese),向,124
Mandarin (Taiwanese),蔬菜,111
