language,uni_lemma,lexical_class,category,definition,word_clean
Spanish (Mexican),turn on,verbs,action_words,prender,prender
Spanish (Mexican),turtle,nouns,animals,tortuga,tortuga
Spanish (Mexican),tv,nouns,furniture_rooms,televisión,televisión
Spanish (Mexican),ugly,adjectives,descriptive_words,feo,feo
Spanish (Mexican),underpants,nouns,clothing,calzón,calzón
Spanish (Mexican),up,function_words,locations,arriba,arriba
Spanish (Mexican),vacuum,nouns,household,aspiradora,aspiradora
Spanish (Mexican),vagina,nouns,body_parts,vagina,vagina
Spanish (Mexican),wait,verbs,action_words,esperar(se),esperar
Spanish (Mexican),walk,verbs,action_words,caminar,caminar
Spanish (Mexican),wanna,verbs,action_words,querer,querer
Spanish (Mexican),wash,verbs,action_words,lavar(se),lavar
Spanish (Mexican),watch (object),nouns,household,reloj,reloj
Spanish (Mexican),water (beverage),nouns,food_drink,agua,agua
Spanish (Mexican),wet (action),verbs,action_words,mojar(se),mojar
Spanish (Mexican),what,function_words,question_words,qué,qué
Spanish (Mexican),what,function_words,question_words,qué (question_words),qué
Spanish (Mexican),where (question),function_words,question_words,dónde está,dónde está
Spanish (Mexican),where (question),function_words,question_words,dónde,dónde
Spanish (Mexican),which (question),function_words,question_words,cuál,cuál
Spanish (Mexican),who,function_words,question_words,quién,quién
Spanish (Mexican),why,function_words,question_words,por qué,por qué
Spanish (Mexican),window,nouns,furniture_rooms,ventana,ventana
Spanish (Mexican),wolf,nouns,animals,lobo,lobo
Spanish (Mexican),work (action),verbs,action_words,trabajar,trabajar
Spanish (Mexican),write,verbs,action_words,escribir,escribir
Spanish (Mexican),yellow,adjectives,descriptive_words,amarillo,amarillo
Spanish (Mexican),you,function_words,pronouns,te,te
Spanish (Mexican),you,function_words,pronouns,tú,tú
Spanish (Mexican),your,function_words,pronouns,tuya,tuya
Spanish (Mexican),your,function_words,pronouns,tuyas,tuyas
Spanish (Mexican),your,function_words,pronouns,tuyo,tuyo
Spanish (Mexican),your,function_words,pronouns,tuyos,tuyos
Spanish (Mexican),yucky,adjectives,descriptive_words,fuchi,fuchi
Spanish (Mexican),zipper,nouns,clothing,cierre,cierre
Spanish (Mexican),zoo,nouns,outside,zoológico,zoológico
Spanish (Mexican),again,function_words,quantifiers,otro/otra vez,otra vez
Spanish (Mexican),balloon,nouns,toys,globo/bomba,bomba
Spanish (Mexican),banana,nouns,food_drink,plátano/banana,banana
Spanish (Mexican),bottle,nouns,household,botella/mamila,mamila
Spanish (Mexican),breast,nouns,body_parts,chichi/pecho,pecho
Spanish (Mexican),car,nouns,vehicles,carro/coche,coche
Spanish (Mexican),church,nouns,outside,iglesia/templo,templo
Spanish (Mexican),garage,nouns,furniture_rooms,cochera/garaje,garaje
Spanish (Mexican),ice cream,nouns,food_drink,helado/nieve,nieve
Spanish (Mexican),pacifier,nouns,household,chupón/chupete,chupete
Spanish (Mexican),pool,nouns,outside,alberca/piscina,piscina
Spanish (Mexican),scared,adjectives,descriptive_words,miedo/susto,susto
Spanish (Mexican),shower,nouns,furniture_rooms,regadera/ducha,ducha
Spanish (Mexican),soda,nouns,food_drink,soda/refresco,refresco
Spanish (Mexican),store,nouns,outside,tienda/mercado,mercado
Spanish (Mexican),there,function_words,locations,alla/allí,allí
Spanish (Mexican),truck,nouns,vehicles,camión/troca,troca
