"","language","uni_lemma","lexical_class","category","definition","word_clean"
"146","English (American)","do","function_words","helping_verbs","do","do"
"147","English (American)","does","function_words","helping_verbs","does","does"
"148","English (American)","dog","nouns","animals","dog","dog"
"149","English (American)","doll","nouns","toys","doll","doll"
"150","English (American)","don't","function_words","helping_verbs","don't","don't"
"151","English (American)","donkey","nouns","animals","donkey","donkey"
"152","English (American)","donut","nouns","food_drink","donut","donut"
"153","English (American)","door","nouns","furniture_rooms","door","door"
"154","English (American)","down","function_words","locations","down","down"
"155","English (American)","draw","verbs","action_words","draw","draw"
"156","English (American)","drawer","nouns","furniture_rooms","drawer","drawer"
"157","English (American)","dress (object)","nouns","clothing","dress (object)","dress"
"158","English (American)","drink (action)","verbs","action_words","drink (action)","drink"
"159","English (American)","drink (beverage)","nouns","food_drink","drink (beverage)","drink"
"160","English (American)","drive","verbs","action_words","drive","drive"
"161","English (American)","drop","verbs","action_words","drop","drop"
"162","English (American)","dry (action)","verbs","action_words","dry (action)","dry"
"163","English (American)","dry (description)","adjectives","descriptive_words","dry (description)","dry"
"164","English (American)","dryer","nouns","furniture_rooms","dryer","dryer"
"165","English (American)","duck","nouns","animals","duck","duck"
"166","English (American)","dump","verbs","action_words","dump","dump"
"167","English (American)","each","function_words","quantifiers","each","each"
"168","English (American)","ear","nouns","body_parts","ear","ear"
"169","English (American)","eat","verbs","action_words","eat","eat"
"170","English (American)","egg","nouns","food_drink","egg","egg"
"171","English (American)","elephant","nouns","animals","elephant","elephant"
"172","English (American)","empty","adjectives","descriptive_words","empty","empty"
"173","English (American)","every","function_words","quantifiers","every","every"
"174","English (American)","eye","nouns","body_parts","eye","eye"
"175","English (American)","face","nouns","body_parts","face","face"
"176","English (American)","fall","verbs","action_words","fall","fall"
"177","English (American)","fast","adjectives","descriptive_words","fast","fast"
"178","English (American)","feed","verbs","action_words","feed","feed"
"179","English (American)","find","verbs","action_words","find","find"
"180","English (American)","fine","adjectives","descriptive_words","fine","fine"
"181","English (American)","finger","nouns","body_parts","finger","finger"
"182","English (American)","finish","verbs","action_words","finish","finish"
"183","English (American)","firetruck","nouns","vehicles","firetruck","firetruck"
"184","English (American)","first","adjectives","descriptive_words","first","first"
"185","English (American)","fish (animal)","nouns","animals","fish (animal)","fish"
"186","English (American)","fish (food)","nouns","food_drink","fish (food)","fish"
"187","English (American)","fit","verbs","action_words","fit","fit"
"188","English (American)","fix","verbs","action_words","fix","fix"
"189","English (American)","flag","nouns","outside","flag","flag"
"190","English (American)","flower","nouns","outside","flower","flower"
"191","English (American)","food","nouns","food_drink","food","food"
"192","English (American)","foot","nouns","body_parts","foot","foot"
"193","English (American)","for","function_words","locations","for","for"
"194","English (American)","fork","nouns","household","fork","fork"
"195","English (American)","french fries","nouns","food_drink","french fries","french fries"
"196","English (American)","frog","nouns","animals","frog","frog"
"197","English (American)","full","adjectives","descriptive_words","full","full"
"198","English (American)","game","nouns","toys","game","game"
"199","English (American)","garage","nouns","furniture_rooms","garage","garage"
"200","English (American)","garbage","nouns","household","garbage","garbage"
"201","English (American)","garden","nouns","outside","garden","garden"
"202","English (American)","gentle","adjectives","descriptive_words","gentle","gentle"
"203","English (American)","get","verbs","action_words","get","get"
"204","English (American)","giraffe","nouns","animals","giraffe","giraffe"
"205","English (American)","give","verbs","action_words","give","give"
"206","English (American)","glass","nouns","household","glass","glass"
"207","English (American)","glasses","nouns","household","glasses","glasses"
"208","English (American)","gloves","nouns","clothing","gloves","gloves"
"209","English (American)","glue","nouns","toys","glue","glue"
"210","English (American)","go","verbs","action_words","go","go"
"211","English (American)","gonna","function_words","helping_verbs","gonna/going to","gonna"
"212","English (American)","good","adjectives","descriptive_words","good","good"
"213","English (American)","goose","nouns","animals","goose","goose"
"214","English (American)","gotta","function_words","helping_verbs","gotta/got to","gotta"
"215","English (American)","grapes","nouns","food_drink","grapes","grapes"
"216","English (American)","grass","nouns","outside","grass","grass"
"217","English (American)","green","adjectives","descriptive_words","green","green"
"218","English (American)","green beans","nouns","food_drink","green beans","green beans"
"219","English (American)","gum","nouns","food_drink","gum","gum"
"220","English (American)","hafta","function_words","helping_verbs","hafta/have to","hafta"
"221","English (American)","hair","nouns","body_parts","hair","hair"
"222","English (American)","hamburger","nouns","food_drink","hamburger","hamburger"
"223","English (American)","hammer","nouns","household","hammer","hammer"
"224","English (American)","hand","nouns","body_parts","hand","hand"
"225","English (American)","happy","adjectives","descriptive_words","happy","happy"
"226","English (American)","hard","adjectives","descriptive_words","hard","hard"
"227","English (American)","hat","nouns","clothing","hat","hat"
"228","English (American)","hate","verbs","action_words","hate","hate"
"229","English (American)","have","verbs","action_words","have","have"
"230","English (American)","he","function_words","pronouns","he","he"
"231","English (American)","head","nouns","body_parts","head","head"
"232","English (American)","hear","verbs","action_words","hear","hear"
"233","English (American)","heavy","adjectives","descriptive_words","heavy","heavy"
"234","English (American)","helicopter","nouns","vehicles","helicopter","helicopter"
"235","English (American)","help","verbs","action_words","help","help"
"236","English (American)","hen","nouns","animals","hen","hen"
"237","English (American)","her","function_words","pronouns","her","her"
"238","English (American)","here","function_words","locations","here","here"
"239","English (American)","hers","function_words","pronouns","hers","hers"
"240","English (American)","hide","verbs","action_words","hide","hide"
"241","English (American)","high","adjectives","descriptive_words","high","high"
"242","English (American)","high chair","nouns","furniture_rooms","high chair","high chair"
"243","English (American)","him","function_words","pronouns","him","him"
"244","English (American)","his","function_words","pronouns","his","his"
"245","English (American)","hit","verbs","action_words","hit","hit"
"246","English (American)","hold","verbs","action_words","hold","hold"
"247","English (American)","home","nouns","outside","home","home"
"248","English (American)","horse","nouns","animals","horse","horse"
"249","English (American)","hose","nouns","outside","hose","hose"
"250","English (American)","hot","adjectives","descriptive_words","hot","hot"
"251","English (American)","house","nouns","outside","house","house"
"252","English (American)","how","function_words","question_words","how","how"
"253","English (American)","hug","verbs","action_words","hug","hug"
"254","English (American)","hungry","adjectives","descriptive_words","hungry","hungry"
"255","English (American)","hurry","verbs","action_words","hurry","hurry"
"256","English (American)","hurt (description)","adjectives","descriptive_words","hurt","hurt"
"257","English (American)","i","function_words","pronouns","I","i"
"258","English (American)","ice","nouns","food_drink","ice","ice"
"259","English (American)","ice cream","nouns","food_drink","ice cream","ice cream"
"260","English (American)","if","function_words","connecting_words","if","if"
"261","English (American)","in","function_words","locations","in","in"
"262","English (American)","in","function_words","locations","inside/in","inside"
"263","English (American)","inside","function_words","locations","inside","inside"
"264","English (American)","into","function_words","locations","into","into"
"265","English (American)","is","function_words","helping_verbs","is","is"
"266","English (American)","it","function_words","pronouns","it","it"
"267","English (American)","jacket","nouns","clothing","jacket","jacket"
"268","English (American)","jar","nouns","household","jar","jar"
"269","English (American)","jeans","nouns","clothing","jeans","jeans"
"270","English (American)","jello","nouns","food_drink","jello","jello"
"271","English (American)","jelly","nouns","food_drink","jelly","jelly"
"272","English (American)","juice","nouns","food_drink","juice","juice"
"273","English (American)","jump","verbs","action_words","jump","jump"
"274","English (American)","keys","nouns","household","keys","keys"
"275","English (American)","kick","verbs","action_words","kick","kick"
"276","English (American)","kiss","verbs","action_words","kiss","kiss"
"277","English (American)","kitchen","nouns","furniture_rooms","kitchen","kitchen"
"278","English (American)","kitty","nouns","animals","kitty","kitty"
"279","English (American)","knee","nouns","body_parts","knee","knee"
"280","English (American)","knife","nouns","household","knife","knife"
"281","English (American)","knock","verbs","action_words","knock","knock"
"282","English (American)","ladder","nouns","outside","ladder","ladder"
"283","English (American)","lamb","nouns","animals","lamb","lamb"
"284","English (American)","lamp","nouns","household","lamp","lamp"
"285","English (American)","last","adjectives","descriptive_words","last","last"
"286","English (American)","lawn mower","nouns","outside","lawn mower","lawn mower"
"287","English (American)","leg","nouns","body_parts","leg","leg"
"288","English (American)","lemme","function_words","helping_verbs","lemme/let me","lemme"
"289","English (American)","lick","verbs","action_words","lick","lick"
"290","English (American)","light (object)","nouns","household","light","light"
"291","English (American)","like (action)","verbs","action_words","like","like"
"292","English (American)","lion","nouns","animals","lion","lion"
"293","English (American)","lips","nouns","body_parts","lips","lips"
"294","English (American)","listen","verbs","action_words","listen","listen"
"295","English (American)","little (description)","adjectives","descriptive_words","little (description)","little"
"296","English (American)","living room","nouns","furniture_rooms","living room","living room"
"297","English (American)","lollipop","nouns","food_drink","lollipop","lollipop"
"298","English (American)","long","adjectives","descriptive_words","long","long"
"299","English (American)","look","verbs","action_words","look","look"
"300","English (American)","loud","adjectives","descriptive_words","loud","loud"
"301","English (American)","love","verbs","action_words","love","love"
"302","English (American)","mad","adjectives","descriptive_words","mad","mad"
"303","English (American)","make","verbs","action_words","make","make"
"304","English (American)","me","function_words","pronouns","me","me"
"305","English (American)","meat","nouns","food_drink","meat","meat"
"306","English (American)","medicine","nouns","household","medicine","medicine"
"307","English (American)","melon","nouns","food_drink","melon","melon"
"308","English (American)","milk","nouns","food_drink","milk","milk"
"309","English (American)","mine","function_words","pronouns","mine","mine"
"310","English (American)","mittens","nouns","clothing","mittens","mittens"
"311","English (American)","money","nouns","household","money","money"
"312","English (American)","monkey","nouns","animals","monkey","monkey"
"313","English (American)","moon","nouns","outside","moon","moon"
"314","English (American)","moose","nouns","animals","moose","moose"
"315","English (American)","mop","nouns","household","mop","mop"
"316","English (American)","more","function_words","quantifiers","more","more"
"317","English (American)","motorcycle","nouns","vehicles","motorcycle","motorcycle"
"318","English (American)","mouse","nouns","animals","mouse","mouse"
"319","English (American)","mouth","nouns","body_parts","mouth","mouth"
"320","English (American)","much","function_words","quantifiers","much","much"
"321","English (American)","muffin","nouns","food_drink","muffin","muffin"
"322","English (American)","my","function_words","pronouns","my","my"
"323","English (American)","myself","function_words","pronouns","myself","myself"
"324","English (American)","nail (object)","nouns","household","nail","nail"
"325","English (American)","napkin","nouns","household","napkin","napkin"
"326","English (American)","naughty","adjectives","descriptive_words","naughty","naughty"
"327","English (American)","necklace","nouns","clothing","necklace","necklace"
"328","English (American)","need","function_words","helping_verbs","need/need to","need"
"329","English (American)","new","adjectives","descriptive_words","new","new"
"330","English (American)","next to","function_words","locations","next to","next to"
"331","English (American)","nice","adjectives","descriptive_words","nice","nice"
"332","English (American)","noisy","adjectives","descriptive_words","noisy","noisy"
"333","English (American)","none","function_words","quantifiers","none","none"
"334","English (American)","nose","nouns","body_parts","nose","nose"
"335","English (American)","not","function_words","quantifiers","not","not"
"336","English (American)","nuts","nouns","food_drink","nuts","nuts"
"337","English (American)","of","function_words","locations","of","of"
"338","English (American)","off","function_words","locations","off","off"
"339","English (American)","old","adjectives","descriptive_words","old","old"
"340","English (American)","on","function_words","locations","on","on"
"341","English (American)","on top of","function_words","locations","on top of","on top of"
"342","English (American)","open (action)","verbs","action_words","open","open"
"343","English (American)","orange (description)","adjectives","descriptive_words","orange (description)","orange"
"344","English (American)","orange (food)","nouns","food_drink","orange (food)","orange"
"345","English (American)","other","function_words","quantifiers","other","other"
"346","English (American)","our","function_words","pronouns","our","our"
"347","English (American)","out","function_words","locations","out","out"
"348","English (American)","outside","nouns","outside","outside","outside"
"349","English (American)","oven","nouns","furniture_rooms","oven","oven"
"350","English (American)","over","function_words","locations","over","over"
"351","English (American)","owie","nouns","body_parts","owie/boo boo","owie"
"352","English (American)","owl","nouns","animals","owl","owl"
"353","English (American)","paint (action)","verbs","action_words","paint","paint"
"354","English (American)","pajamas","nouns","clothing","pajamas","pajamas"
"355","English (American)","pancake","nouns","food_drink","pancake","pancake"
"356","English (American)","pants","nouns","clothing","pants","pants"
"357","English (American)","paper","nouns","household","paper","paper"
"358","English (American)","park","nouns","outside","park","park"
"359","English (American)","party","nouns","outside","party","party"
"360","English (American)","pasta","nouns","food_drink","noodles","noodles"
"361","English (American)","pasta","nouns","food_drink","spaghetti","spaghetti"
"362","English (American)","peanut butter","nouns","food_drink","peanut butter","peanut butter"
"363","English (American)","peas","nouns","food_drink","peas","peas"
"364","English (American)","pen","nouns","toys","pen","pen"
"365","English (American)","pencil","nouns","toys","pencil","pencil"
"366","English (American)","penguin","nouns","animals","penguin","penguin"
"367","English (American)","penis","nouns","body_parts","penis*","penis*"
"368","English (American)","penny","nouns","household","penny","penny"
"369","English (American)","pick","verbs","action_words","pick","pick"
"370","English (American)","pickle","nouns","food_drink","pickle","pickle"
"371","English (American)","picture","nouns","household","picture","picture"
"372","English (American)","pig","nouns","animals","pig","pig"
"373","English (American)","pillow","nouns","household","pillow","pillow"
"374","English (American)","pizza","nouns","food_drink","pizza","pizza"
"375","English (American)","plant","nouns","household","plant","plant"
"376","English (American)","plate","nouns","household","plate","plate"
"377","English (American)","play","verbs","action_words","play","play"
"378","English (American)","play dough","nouns","toys","play dough","play dough"
"379","English (American)","play pen","nouns","furniture_rooms","play pen","play pen"
"380","English (American)","pony","nouns","animals","pony","pony"
"381","English (American)","pool","nouns","outside","pool","pool"
"382","English (American)","poor","adjectives","descriptive_words","poor","poor"
"383","English (American)","popcorn","nouns","food_drink","popcorn","popcorn"
"384","English (American)","popsicle","nouns","food_drink","popsicle","popsicle"
"385","English (American)","porch","nouns","furniture_rooms","porch","porch"
"386","English (American)","potato","nouns","food_drink","potato","potato"
"387","English (American)","potty","nouns","furniture_rooms","potty","potty"
"388","English (American)","pour","verbs","action_words","pour","pour"
"389","English (American)","present","nouns","toys","present","present"
"390","English (American)","pretend","verbs","action_words","pretend","pretend"
"391","English (American)","pretty","adjectives","descriptive_words","pretty","pretty"
"392","English (American)","pretzel","nouns","food_drink","pretzel","pretzel"
"393","English (American)","pudding","nouns","food_drink","pudding","pudding"
"394","English (American)","pull","verbs","action_words","pull","pull"
"395","English (American)","pumpkin","nouns","food_drink","pumpkin","pumpkin"
"396","English (American)","puppy","nouns","animals","puppy","puppy"
"397","English (American)","purse","nouns","household","purse","purse"
"398","English (American)","push","verbs","action_words","push","push"
"399","English (American)","put","verbs","action_words","put","put"
"400","English (American)","puzzle","nouns","toys","puzzle","puzzle"
"401","English (American)","quiet","adjectives","descriptive_words","quiet","quiet"
"402","English (American)","radio","nouns","household","radio","radio"
"403","English (American)","rain","nouns","outside","rain","rain"
"404","English (American)","raisin","nouns","food_drink","raisin","raisin"
"405","English (American)","read","verbs","action_words","read","read"
"406","English (American)","red","adjectives","descriptive_words","red","red"
"407","English (American)","refrigerator","nouns","furniture_rooms","refrigerator","refrigerator"
"408","English (American)","ride","verbs","action_words","ride","ride"
"409","English (American)","rip","verbs","action_words","rip","rip"
"410","English (American)","rock (object)","nouns","outside","rock","rock"
"411","English (American)","rocking chair","nouns","furniture_rooms","rocking chair","rocking chair"
"412","English (American)","roof","nouns","outside","roof","roof"
"413","English (American)","room","nouns","furniture_rooms","room","room"
"414","English (American)","rooster","nouns","animals","rooster","rooster"
"415","English (American)","run","verbs","action_words","run","run"
"416","English (American)","sad","adjectives","descriptive_words","sad","sad"
"417","English (American)","salt","nouns","food_drink","salt","salt"
"418","English (American)","same","function_words","quantifiers","same","same"
"419","English (American)","sandbox","nouns","outside","sandbox","sandbox"
"420","English (American)","sandwich","nouns","food_drink","sandwich","sandwich"
"421","English (American)","sauce","nouns","food_drink","sauce","sauce"
"422","English (American)","say","verbs","action_words","say","say"
"423","English (American)","scared","adjectives","descriptive_words","scared","scared"
"424","English (American)","scarf","nouns","clothing","scarf","scarf"
"425","English (American)","school","nouns","outside","school","school"
"426","English (American)","scissors","nouns","household","scissors","scissors"
"427","English (American)","see","verbs","action_words","see","see"
"428","English (American)","shake","verbs","action_words","shake","shake"
"429","English (American)","share","verbs","action_words","share","share"
"430","English (American)","she","function_words","pronouns","she","she"
"431","English (American)","sheep","nouns","animals","sheep","sheep"
"432","English (American)","shirt","nouns","clothing","shirt","shirt"
"433","English (American)","shoe","nouns","clothing","shoe","shoe"
"434","English (American)","shorts","nouns","clothing","shorts","shorts"
"435","English (American)","shoulder","nouns","body_parts","shoulder","shoulder"
"436","English (American)","shovel","nouns","outside","shovel","shovel"
"437","English (American)","show","verbs","action_words","show","show"
"438","English (American)","shower","nouns","furniture_rooms","shower","shower"
"439","English (American)","sick","adjectives","descriptive_words","sick","sick"
"440","English (American)","sidewalk","nouns","outside","sidewalk","sidewalk"
"441","English (American)","sing","verbs","action_words","sing","sing"
"442","English (American)","sink","nouns","furniture_rooms","sink","sink"
"443","English (American)","sit","verbs","action_words","sit","sit"
"444","English (American)","skate","verbs","action_words","skate","skate"
"445","English (American)","sky","nouns","outside","sky","sky"
"446","English (American)","sled","nouns","vehicles","sled","sled"
"447","English (American)","sleep","verbs","action_words","sleep","sleep"
"448","English (American)","sleepy","adjectives","descriptive_words","sleepy","sleepy"
"449","English (American)","slide (action)","verbs","action_words","slide (action)","slide"
"450","English (American)","slide (object)","nouns","outside","slide (object)","slide"
"451","English (American)","slipper","nouns","clothing","slipper","slipper"
"452","English (American)","slow","adjectives","descriptive_words","slow","slow"
"453","English (American)","smile","verbs","action_words","smile","smile"
"454","English (American)","sneaker","nouns","clothing","sneaker","sneaker"
"455","English (American)","snow","nouns","outside","snow","snow"
"456","English (American)","snowman","nouns","outside","snowman","snowman"
"457","English (American)","snowsuit","nouns","clothing","snowsuit","snowsuit"
"458","English (American)","so","function_words","connecting_words","so","so"
"459","English (American)","soap","nouns","household","soap","soap"
"460","English (American)","sock","nouns","clothing","sock","sock"
"461","English (American)","soda","nouns","food_drink","soda/pop","soda"
"462","English (American)","sofa","nouns","furniture_rooms","sofa","sofa"
"463","English (American)","soft","adjectives","descriptive_words","soft","soft"
"464","English (American)","some","function_words","quantifiers","some","some"
"465","English (American)","soup","nouns","food_drink","soup","soup"
"466","English (American)","spill","verbs","action_words","spill","spill"
"467","English (American)","splash","verbs","action_words","splash","splash"
"468","English (American)","spoon","nouns","household","spoon","spoon"
"469","English (American)","sprinkler","nouns","outside","sprinkler","sprinkler"
"470","English (American)","squirrel","nouns","animals","squirrel","squirrel"
"471","English (American)","stairs","nouns","furniture_rooms","stairs","stairs"
"472","English (American)","stand","verbs","action_words","stand","stand"
"473","English (American)","star","nouns","outside","star","star"
"474","English (American)","stay","verbs","action_words","stay","stay"
"475","English (American)","stick","nouns","outside","stick","stick"
"476","English (American)","sticky","adjectives","descriptive_words","sticky","sticky"
"477","English (American)","stone","nouns","outside","stone","stone"
"478","English (American)","stop","verbs","action_words","stop","stop"
"479","English (American)","store","nouns","outside","store","store"
"480","English (American)","story","nouns","toys","story","story"
"481","English (American)","stove","nouns","furniture_rooms","stove","stove"
"482","English (American)","strawberry","nouns","food_drink","strawberry","strawberry"
"483","English (American)","street","nouns","outside","street","street"
"484","English (American)","stroller","nouns","vehicles","stroller","stroller"
"485","English (American)","stuck","adjectives","descriptive_words","stuck","stuck"
"486","English (American)","sun","nouns","outside","sun","sun"
"487","English (American)","sweater","nouns","clothing","sweater","sweater"
"488","English (American)","sweep","verbs","action_words","sweep","sweep"
"489","English (American)","swim","verbs","action_words","swim","swim"
"490","English (American)","swing (action)","verbs","action_words","swing (action)","swing"
"491","English (American)","swing (object)","nouns","outside","swing (object)","swing"
"492","English (American)","table","nouns","furniture_rooms","table","table"
"493","English (American)","take","verbs","action_words","take","take"
"494","English (American)","talk","verbs","action_words","talk","talk"
"495","English (American)","tape","nouns","household","tape","tape"
"496","English (American)","taste","verbs","action_words","taste","taste"
"497","English (American)","tear","verbs","action_words","tear","tear"
"498","English (American)","teddybear","nouns","animals","teddybear","teddybear"
"499","English (American)","telephone","nouns","household","telephone","telephone"
"500","English (American)","that","function_words","pronouns","that","that"
"501","English (American)","the","function_words","quantifiers","the","the"
"502","English (American)","their","function_words","pronouns","their","their"
"503","English (American)","them","function_words","pronouns","them","them"
"504","English (American)","then","function_words","connecting_words","then","then"
"505","English (American)","there","function_words","locations","there","there"
"506","English (American)","these","function_words","pronouns","these","these"
"507","English (American)","they","function_words","pronouns","they","they"
