"73,""block"",""word"",""toys"",0.19,0.22,0.37,0.42,0.45,0.49,0.59,0.65,0.67,0.71,0.76,0.81,0.9,0.8,0.93"
"74,""book"",""word"",""toys"",0.52,0.52,0.71,0.8,0.83,0.8,0.82,0.92,0.91,0.92,0.94,0.96,0.98,0.95,0.97"
"75,""bubbles"",""word"",""toys"",0.36,0.38,0.58,0.63,0.67,0.65,0.8,0.85,0.86,0.89,0.91,0.92,0.97,0.92,0.98"
"78,""doll"",""word"",""toys"",0.18,0.22,0.35,0.39,0.45,0.47,0.58,0.56,0.63,0.68,0.75,0.74,0.86,0.76,0.88"
"81,""pen"",""word"",""toys"",0.07,0.1,0.19,0.25,0.3,0.4,0.44,0.54,0.55,0.62,0.69,0.69,0.83,0.73,0.86"
"87,""toy (object)"",""word"",""toys"",0.13,0.15,0.32,0.42,0.44,0.51,0.58,0.68,0.71,0.77,0.84,0.84,0.94,0.88,0.96"
"88,""apple"",""word"",""food_drink"",0.33,0.43,0.58,0.62,0.68,0.72,0.86,0.88,0.87,0.9,0.92,0.95,0.98,0.95,0.97"
"90,""banana"",""word"",""food_drink"",0.52,0.56,0.66,0.73,0.76,0.77,0.87,0.9,0.87,0.91,0.92,0.93,0.98,0.94,0.97"
"92,""bread"",""word"",""food_drink"",0.15,0.14,0.3,0.38,0.41,0.49,0.58,0.64,0.7,0.77,0.8,0.84,0.93,0.9,0.94"
"93,""butter"",""word"",""food_drink"",0.04,0.05,0.12,0.19,0.24,0.3,0.43,0.44,0.52,0.59,0.65,0.71,0.82,0.73,0.85"
"94,""cake"",""word"",""food_drink"",0.08,0.1,0.25,0.32,0.36,0.4,0.58,0.63,0.76,0.77,0.81,0.84,0.92,0.89,0.93"
"95,""candy"",""word"",""food_drink"",0.07,0.12,0.23,0.33,0.35,0.41,0.5,0.59,0.66,0.74,0.81,0.79,0.92,0.87,0.93"
"96,""carrots"",""word"",""food_drink"",0.06,0.07,0.2,0.23,0.26,0.35,0.42,0.47,0.58,0.62,0.69,0.69,0.86,0.8,0.91"
"97,""cereal"",""word"",""food_drink"",0.11,0.14,0.3,0.37,0.38,0.49,0.52,0.63,0.69,0.74,0.81,0.77,0.92,0.86,0.94"
"98,""cheerios"",""word"",""food_drink"",0.16,0.19,0.27,0.29,0.34,0.4,0.48,0.52,0.52,0.6,0.64,0.69,0.79,0.74,0.84"
"99,""cheese"",""word"",""food_drink"",0.36,0.41,0.57,0.64,0.69,0.67,0.78,0.84,0.87,0.86,0.91,0.93,0.96,0.92,0.97"
"100,""chicken (food)"",""word"",""food_drink"",0.08,0.09,0.24,0.3,0.36,0.45,0.54,0.56,0.64,0.73,0.74,0.82,0.9,0.84,0.91"
"102,""coffee"",""word"",""food_drink"",0.04,0.04,0.15,0.2,0.24,0.28,0.4,0.44,0.5,0.57,0.59,0.63,0.79,0.67,0.78"
"104,""cookie"",""word"",""food_drink"",0.38,0.36,0.57,0.69,0.66,0.7,0.78,0.84,0.87,0.9,0.94,0.91,0.98,0.94,0.98"
"106,""cracker"",""word"",""food_drink"",0.34,0.32,0.5,0.58,0.59,0.59,0.72,0.78,0.77,0.82,0.85,0.84,0.95,0.86,0.96"
"108,""drink (beverage)"",""word"",""food_drink"",0.18,0.21,0.33,0.41,0.46,0.56,0.66,0.71,0.72,0.75,0.82,0.81,0.92,0.86,0.94"
"109,""egg"",""word"",""food_drink"",0.12,0.16,0.26,0.35,0.41,0.49,0.57,0.64,0.69,0.74,0.79,0.79,0.91,0.83,0.92"
"110,""fish (food)"",""word"",""food_drink"",0.15,0.19,0.31,0.39,0.42,0.46,0.56,0.61,0.65,0.69,0.76,0.74,0.87,0.81,0.89"
"111,""food"",""word"",""food_drink"",0.07,0.14,0.21,0.29,0.31,0.37,0.48,0.55,0.59,0.62,0.7,0.7,0.83,0.83,0.88"
"121,""juice"",""word"",""food_drink"",0.44,0.31,0.58,0.67,0.69,0.76,0.82,0.85,0.87,0.86,0.94,0.9,0.97,0.91,0.98"
"123,""meat"",""word"",""food_drink"",0.04,0.06,0.11,0.17,0.23,0.24,0.29,0.36,0.45,0.48,0.59,0.55,0.7,0.6,0.74"
"125,""milk"",""word"",""food_drink"",0.34,0.43,0.57,0.72,0.67,0.72,0.79,0.88,0.86,0.88,0.93,0.93,0.97,0.96,0.97"
"129,""orange (food)"",""word"",""food_drink"",0.07,0.11,0.22,0.32,0.34,0.41,0.53,0.61,0.63,0.67,0.78,0.78,0.9,0.87,0.94"
