word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
close,2530,608,16062386,0.0001575108455244,0.0001953632542513
closet,236,53,16062386,0.0000146927112821,0.0000179923455955
cloud,223,50,16062386,0.0000138833670166,0.0000169962295764
coat,956,235,16062386,0.0000595179321428,0.0000741483861738
coffee,1783,466,16062386,0.0001110046788815,0.0001400165579385
coke,150,34,16062386,0.0000093385876793,0.0000114553342200
cold,3125,766,16062386,0.0001945539099857,0.0002422429644014
comb,509,130,16062386,0.0000316889408585,0.0000397823835139
cook,1319,315,16062386,0.0000821173143268,0.0001017283484533
cookie,2119,532,16062386,0.0001319231152831,0.0001650439729191
corn,615,154,16062386,0.0000382882094852,0.0000478758261693
couch,407,98,16062386,0.0000253387012365,0.0000314399118537
could,10302,2578,16062386,0.0006413742018153,0.0008018733953972
cover,726,176,16062386,0.0000451987643679,0.0000561560405783
cow,2785,711,16062386,0.0001733864445793,0.0002176513501792
cracker,385,86,16062386,0.0000239690417102,0.0000293231653130
crayon,801,209,16062386,0.0000498680582075,0.0000628798237074
crib,251,55,16062386,0.0000156265700501,0.0000190507188658
cry,1104,304,16062386,0.0000687320053198,0.0000876582096832
cup,4257,1104,16062386,0.0002650291183390,0.0003337611236587
cut,2917,733,16062386,0.0001816044017371,0.0002272389668633
cute,1083,288,16062386,0.0000674246030447,0.0000853546913889
dance,886,221,16062386,0.0000551599245592,0.0000689187770733
dark,1195,299,16062386,0.0000743974151785,0.0000930123332860
deer,309,65,16062386,0.0000192374906194,0.0000232842119471
diaper,850,222,16062386,0.0000529186635161,0.0000667397732815
did,46454,11434,16062386,0.0028920983470326,0.0036039477572012
dirty,2170,536,16062386,0.0001350982350941,0.0001684681217348
dish,247,65,16062386,0.0000153775410453,0.0000194242623730
do,125923,31418,16062386,0.0078396198422825,0.0097956181603406
does,24106,5973,16062386,0.0015007732973171,0.0018726358587074
dog,4418,1091,16062386,0.0002750525357814,0.0003429751968356
doll,1437,393,16062386,0.0000894636699678,0.0001139307696876
dont,71801,17864,16062386,0.0044701328930833,0.0055822964284385
donkey,476,99,16062386,0.0000296344515690,0.0000357979194374
donut,89,9,16062386,0.0000055408953564,0.0000061012106172
door,4988,1205,16062386,0.0003105391689628,0.0003855591566533
down,25065,6175,16062386,0.0015604780012135,0.0019449165273453
draw,3948,969,16062386,0.0002457916277196,0.0003061189041279
drawer,426,85,16062386,0.0000265215890093,0.0000318134553609
dress,1686,401,16062386,0.0001049657255155,0.0001299308832449
drink,5020,1253,16062386,0.0003125314010011,0.0003905397367489
drive,1490,393,16062386,0.0000927633042812,0.0001172304040010
drop,879,226,16062386,0.0000547241238008,0.0000687942625710
dry,1339,366,16062386,0.0000833624593507,0.0001061486132882
dryer,75,18,16062386,0.0000046692938397,0.0000057899243612
duck,2312,560,16062386,0.0001439387647638,0.0001788028254333
dump,500,126,16062386,0.0000311286255977,0.0000389730392483
each,1014,261,16062386,0.0000631288527122,0.0000793779952742
ear,990,270,16062386,0.0000616346786835,0.0000784441365062
eat,14401,3690,16062386,0.0008965666744654,0.0011262959313766
egg,2031,519,16062386,0.0001264444771779,0.0001587559905484
elephant,2284,574,16062386,0.0001421955617304,0.0001779312239165
empty,969,268,16062386,0.0000603272764084,0.0000770122197288
every,1559,373,16062386,0.0000970590546137,0.0001202810093096
eye,1361,335,16062386,0.0000847321188770,0.0001055882980275
face,3507,849,16062386,0.0002183361799424,0.0002711925862073
fall,3614,933,16062386,0.0002249977058203,0.0002830837211856
fast,1418,396,16062386,0.0000882807821951,0.0001129346536685
feed,1353,343,16062386,0.0000842340608674,0.0001055882980275
find,8872,2224,16062386,0.0005523463326059,0.0006908064592645
fine,1412,379,16062386,0.0000879072386880,0.0001115027368910
finger,1726,431,16062386,0.0001074560155633,0.0001342888908285
finish,2228,546,16062386,0.0001387091556634,0.0001727016148161
firetruck,116,33,16062386,0.0000072218411387,0.0000092763304281
first,6715,1674,16062386,0.0004180574417773,0.0005222760802785
fish,3680,969,16062386,0.0002291066843992,0.0002894339608076
fit,3227,770,16062386,0.0002009041496077,0.0002488422330281
fix,2332,597,16062386,0.0001451839097877,0.0001823514887514
flag,190,46,16062386,0.0000118288777271,0.0000146927112821
