word,surprisal_value,n_instances
store,0.0004148457648818,1349
stove,0.0019186003736848,408
stroller,0.0092840215888378,171
sun,0.0006755094399598,1609
sweater,0.0063685793028841,244
swim,0.0009875063000036,801
swing,0.0020879855408435,876
table,0.0001426786301509,4624
take,0.0000262276581375,16379
teacher,0.0011605464467061,660
teddybear,0.0013849322460958,409
telephone,0.0005015464134682,1018
that,0.0000033954010758,175877
there,0.0000039394706650,85394
thirsty,0.0012956244301466,623
this,0.0000101123297803,89758
throw,0.0001271909624600,4474
tickle,0.0005386291745325,1713
tiger,0.0002117138330728,1859
tired,0.0001431999677080,2847
toast,0.0003503632709492,1672
today,0.0000599988971617,8955
toe,0.0025765699933850,477
tomorrow,0.0001697289345778,1933
tongue,0.0024480311125504,603
tonight,0.0010450690480534,1139
tooth,0.0069260200744654,284
toothbrush,0.0094481580194901,261
touch,0.0002464330869977,2487
towel,0.0011796424273570,751
toy,0.0001983399629272,2200
train,0.0000528364407772,6574
trash,0.0076199254912743,235
tree,0.0001865714391539,3443
truck,0.0001275447750776,3917
tummy,0.0007786223327963,1426
turkey,0.0010154797541911,500
turtle,0.0007146819409431,631
tv,0.0004344048764383,1022
uncle,0.0114728266390851,212
under,0.0001501975124397,3477
up,0.0000110645585146,44162
vacuum,0.0078558036790736,192
vroom,0.0052570857212177,441
wait,0.0000669808744739,6371
walk,0.0005351584692298,2784
wash,0.0001838938329316,2810
watch,0.0000651808492930,6233
water,0.0000726725166903,6947
wet,0.0003076676001288,1992
what,0.0000052292062460,164228
when,0.0000248636083691,22173
where,0.0000141066793437,31053
who,0.0000306729836036,16221
why,0.0000251341420024,17834
window,0.0002305222563801,2138
wipe,0.0004032160293314,1451
work,0.0001440698747637,4799
write,0.0005247860335319,2348
backyard,0.0523322985435909,78
yes,0.0000100024613570,40771
you,0.0000009871103533,472001
your,0.0000052563480208,84867
yucky,0.0016998402850454,572
zipper,0.0080598617484522,342
zoo,0.0003878174643131,1440
shh/shush/hush,NA,NA
