word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
pantalons,9,5,1665518,0.0000054037242468,0.0000084057932727
parc,57,9,1665518,0.0000342235868961,0.0000396273111428
fête,129,19,1665518,0.0000774533808701,0.0000888612431688
nouilles,9,5,1665518,0.0000054037242468,0.0000084057932727
pois,57,16,1665518,0.0000342235868961,0.0000438302077792
sou,8,2,1665518,0.0000048033104416,0.0000060041380519
ramasser,78,14,1665518,0.0000468322768052,0.0000552380700779
image,339,95,1665518,0.0002035402799609,0.0002605795914544
tuyau,14,7,1665518,0.0000084057932727,0.0000126086899091
pâte à modeler,88,27,1665518,0.0000528364148571,0.0000690475875974
pauvre,225,61,1665518,0.0001350931061688,0.0001717183482856
patate,22,6,1665518,0.0000132091037143,0.0000168115865454
pot,229,46,1665518,0.0001374947613895,0.0001651137964285
citrouille,11,0,1665518,0.0000066045518571,0.0000066045518571
petit chien,56,18,1665518,0.0000336231730909,0.0000444306215844
raisin sec,0,0,1665518,0.0000000000000000,0.0000000000000000
frigidaire,4,3,1665518,0.0000024016552208,0.0000042028966364
roche,6,2,1665518,0.0000036024828312,0.0000048033104416
sel,35,9,1665518,0.0000210144831818,0.0000264182074286
même,1164,320,1665518,0.0006988816692464,0.0008910140869087
sable,100,23,1665518,0.0000600413805195,0.0000738508980389
foulard,10,1,1665518,0.0000060041380519,0.0000066045518571
école,85,19,1665518,0.0000510351734415,0.0000624430357402
soulier,5,1,1665518,0.0000030020690260,0.0000036024828312
trottoir,17,3,1665518,0.0000102070346883,0.0000120082761039
pareil,195,49,1665518,0.0001170806920129,0.0001465009684675
habit de neige,0,0,1665518,0.0000000000000000,0.0000000000000000
alors,5246,1390,1665518,0.0031497708220506,0.0039843460112710
bas,126,27,1665518,0.0000756521394545,0.0000918633121948
cracher,19,0,1665518,0.0000114078622987,0.0000114078622987
arroser,30,10,1665518,0.0000180124141558,0.0000240165522078
debout,284,71,1665518,0.0001705175206752,0.0002131469008441
marche,473,117,1665518,0.0002839957298570,0.0003542441450648
collant,26,11,1665518,0.0000156107589351,0.0000222153107922
magasin,51,10,1665518,0.0000306211040649,0.0000366252421169
poêle,20,3,1665518,0.0000120082761039,0.0000138095175195
fraise,33,10,1665518,0.0000198136555714,0.0000258177936234
fort,515,115,1665518,0.0003092131096752,0.0003782606972726
chandail,13,10,1665518,0.0000078053794675,0.0000138095175195
enlever,216,76,1665518,0.0001296893819220,0.0001753208311168
goûter,148,41,1665518,0.0000888612431688,0.0001134782091818
toutou,7,1,1665518,0.0000042028966364,0.0000048033104416
ourson,12,2,1665518,0.0000072049656623,0.0000084057932727
à eux,2,0,1665518,0.0000012008276104,0.0000012008276104
puis,1502,405,1665518,0.0009018215354022,0.0011449891265060
y,8308,2113,1665518,0.0049882378935562,0.0062569122639323
ce,9198,2284,1665518,0.0055226061801794,0.0068939513112437
lancer,34,12,1665518,0.0000204140693766,0.0000276190350389
trop,1341,333,1665518,0.0008051549127659,0.0010050927098957
brosse à dents,5,1,1665518,0.0000030020690260,0.0000036024828312
essayer,316,82,1665518,0.0001897307624415,0.0002389646944674
thon,15,5,1665518,0.0000090062070779,0.0000120082761039
tourner,176,26,1665518,0.0001056728297142,0.0001212835886493
allumer,46,9,1665518,0.0000276190350389,0.0000330227592857
télévision,30,8,1665518,0.0000180124141558,0.0000228157245974
petite culotte,5,1,1665518,0.0000030020690260,0.0000036024828312
vanille,19,2,1665518,0.0000114078622987,0.0000126086899091
réveiller,34,6,1665518,0.0000204140693766,0.0000240165522078
vouloir,26,7,1665518,0.0000156107589351,0.0000198136555714
surveiller,7,2,1665518,0.0000042028966364,0.0000054037242468
eau,165,40,1665518,0.0000990682778571,0.0001230848300649
roue,39,15,1665518,0.0000234161384026,0.0000324223454805
quel,417,101,1665518,0.0002503725567661,0.0003110143510908
travail,110,36,1665518,0.0000660455185714,0.0000876604155584
cour,55,7,1665518,0.0000330227592857,0.0000372256559221
toi,4373,1028,1665518,0.0026256095701157,0.0032428349618557
dégueulasse,10,4,1665518,0.0000060041380519,0.0000084057932727
toute,788,208,1665518,0.0004731260784933,0.0005980121499738
balcon,22,14,1665518,0.0000132091037143,0.0000216148969870
toilette,19,3,1665518,0.0000114078622987,0.0000132091037143
boules,50,10,1665518,0.0000300206902597,0.0000360248283117
sofa,6,1,1665518,0.0000036024828312,0.0000042028966364
par terre,159,38,1665518,0.0000954657950259,0.0001182815196233
en avant,20,3,1665518,0.0000120082761039,0.0000138095175195
méchant,100,33,1665518,0.0000600413805195,0.0000798550360909
dessus,453,111,1665518,0.0002719874537531,0.0003386333861297
nos,24,10,1665518,0.0000144099313247,0.0000204140693766
sac à main,2,1,1665518,0.0000012008276104,0.0000018012414156
peine,61,15,1665518,0.0000366252421169,0.0000456314491948
bureau,45,11,1665518,0.0000270186212338,0.0000336231730909
