"uni_lemma","category","lexical_category","concreteness","language1","definition1","aoa1","surprisal_1gm1","lstm_surp_resid1","language2","definition2","aoa2","surprisal_1gm2","lstm_surp_resid2","aoa_diff","surprisal_1gm_diff","lstm_surp_resid_diff"
"big","descriptive_words","predicates",-1.42497796527636,"French (French)","grand/e",25.8512721519962,-1.81942372912524,0.874185763379089,"English (Australian)","big",23.6972542728937,-2.09239407531466,0.845120546004642,2.1540178791025,0.27297034618942,0.029065217374447
"big","descriptive_words","predicates",-1.42497796527636,"French (French)","grand/e",25.8512721519962,-1.81942372912524,0.874185763379089,"Spanish (Mexican)","grande",26.0566227434688,-1.63998981972152,-0.266360789258539,-0.205350591472602,-0.17943390940372,1.14054655263763
"big","descriptive_words","predicates",-1.42497796527636,"English (British)","big",26.5602932720723,-2.0552706778351,0.834796813264393,"French (Quebecois)","gros/grand",23.5344210137263,-2.00742719304318,1.08217102884153,3.025872258346,-0.0478434847919202,-0.247374215577137
"big","descriptive_words","predicates",-1.42497796527636,"English (British)","big",26.5602932720723,-2.0552706778351,0.834796813264393,"English (Australian)","big",23.6972542728937,-2.09239407531466,0.845120546004642,2.8630389991786,0.0371233974795597,-0.010323732740249
"big","descriptive_words","predicates",-1.42497796527636,"English (British)","big",26.5602932720723,-2.0552706778351,0.834796813264393,"Spanish (Mexican)","grande",26.0566227434688,-1.63998981972152,-0.266360789258539,0.5036705286035,-0.41528085811358,1.10115760252293
"big","descriptive_words","predicates",-1.42497796527636,"French (Quebecois)","gros/grand",23.5344210137263,-2.00742719304318,1.08217102884153,"English (Australian)","big",23.6972542728937,-2.09239407531466,0.845120546004642,-0.162833259167403,0.08496688227148,0.237050482836888
"big","descriptive_words","predicates",-1.42497796527636,"French (Quebecois)","gros/grand",23.5344210137263,-2.00742719304318,1.08217102884153,"Spanish (Mexican)","grande",26.0566227434688,-1.63998981972152,-0.266360789258539,-2.5222017297425,-0.36743737332166,1.34853181810007
"big","descriptive_words","predicates",-1.42497796527636,"English (Australian)","big",23.6972542728937,-2.09239407531466,0.845120546004642,"Spanish (Mexican)","grande",26.0566227434688,-1.63998981972152,-0.266360789258539,-2.3593684705751,-0.45240425559314,1.11148133526318
"bite","action_words","predicates",-0.180985074823799,"German","beißen",24.8701591471884,1.10554364611594,-0.312378099819306,"English (American)","bite",21.9384322238397,0.199833463190375,-0.526100428023191,2.9317269233487,0.905710182925565,0.213722328203885
"bite","action_words","predicates",-0.180985074823799,"German","beißen",24.8701591471884,1.10554364611594,-0.312378099819306,"English (British)","bite",27.4439035272305,0.170468209748271,-0.375452310191251,-2.5737443800421,0.935075436367669,0.063074210371945
"bite","action_words","predicates",-0.180985074823799,"German","beißen",24.8701591471884,1.10554364611594,-0.312378099819306,"Spanish (European)","morder",26.302946364058,1.79036454835456,-0.581369504578614,-1.4327872168696,-0.68482090223862,0.268991404759308
"bite","action_words","predicates",-0.180985074823799,"German","beißen",24.8701591471884,1.10554364611594,-0.312378099819306,"English (Australian)","bite",24.3149647443097,0.184476539995955,-0.372841984815283,0.555194402878698,0.921067106119985,0.060463884995977
"bite","action_words","predicates",-0.180985074823799,"German","beißen",24.8701591471884,1.10554364611594,-0.312378099819306,"Mandarin (Beijing)","咬",20.5311792252232,-0.310624634938227,-0.123307099420863,4.3389799219652,1.41616828105417,-0.189071000398443
"bite","action_words","predicates",-0.180985074823799,"German","beißen",24.8701591471884,1.10554364611594,-0.312378099819306,"Mandarin (Taiwanese)","咬",24.9361602116096,-0.305613630310806,-0.110276893731186,-0.0660010644212008,1.41115727642675,-0.20210120608812
"bite","action_words","predicates",-0.180985074823799,"German","beißen",24.8701591471884,1.10554364611594,-0.312378099819306,"French (Quebecois)","mordre",27.8231684661021,1.94753950168613,0.78976637748419,-2.9530093189137,-0.84199585557019,-1.1021444773035
"bite","action_words","predicates",-0.180985074823799,"German","beißen",24.8701591471884,1.10554364611594,-0.312378099819306,"Spanish (Mexican)","morder",24.964925949367,1.63577624440674,-0.500440474425263,-0.0947668021786008,-0.5302325982908,0.188062374605957
